domain,target,feature,n_queries,n_comparisons,effect,effect_lo,effect_hi,direction,matched_effect,matched_effect_lo,matched_effect_hi,matched_direction,matched_n_comparisons,shap_share,shap_direction
en/editors,y_mention,in_search_results,10,195231,0.5386439653538628,0.46134075820032294,0.6214849169985291,up,0.5386439653538628,0.46134075820032294,0.6214849169985291,up,195231,0.0,
en/editors,y_mention,n_results_mentioning,10,27424,0.5474037339556592,0.43951936321335,0.6477866770554614,up,0.5474037339556592,0.43951936321335,0.6477866770554614,up,27424,0.21329658932659212,0.9159450895971049
en/editors,y_mention,best_position,10,27424,0.3895492998833139,0.2953601747799776,0.4875278569327823,up,0.01197899573350837,-0.04587750145756143,0.08994408544622547,flat,6094,0.07891599500608351,0.009977391361302275
en/editors,y_mention,n_official,10,27424,0.13696032672112018,0.0925525010607998,0.1816075618346587,up,0.046110928782408925,0.0032215589175021604,0.08347753873267036,up,6094,0.008035751126608428,0.41401199700794644
en/editors,y_mention,n_editorial,10,27424,0.1325845974329055,0.08161646764450503,0.20383109298572782,up,0.0077125041023957995,-0.0327602681698632,0.041142175646020934,flat,6094,0.014078023234085356,0.5244878967123606
en/editors,y_mention,n_affiliate,10,27424,0.06946470245040841,0.03223792926547563,0.11527855271206332,up,0.00016409583196586806,-0.0018876818958323662,0.0026575734314411214,flat,6094,0.001494034387745988,-0.3607891373164443
en/editors,y_mention,n_forum,10,27424,0.40905775962660446,0.29851041510257975,0.518193327672352,up,-0.062192320315064,-0.12528109193872364,-0.008038688374065888,down,6094,0.03052932913826723,0.7372928689453673
en/editors,y_mention,n_retailer,10,27424,0.0,0.0,0.0,flat,0.0,0.0,0.0,flat,6094,0.0,
en/editors,y_mention,n_unknown,10,27424,0.47498541423570595,0.36954138231967765,0.5659353404572476,up,0.015425008204791599,-0.037437454318958605,0.08885835478972733,flat,6094,0.07320720587325939,0.9134525848983146
en/editors,y_mention,lex_authority,10,27424,0.11920215869311553,0.07813662606526002,0.16205189095215783,up,-0.005415162454873646,-0.010304097769581178,-0.0010916512769969778,down,6094,0.0027818776006238197,-0.21361365578905908
en/editors,y_mention,lex_social_proof,10,27424,0.12281213535589265,0.07924184136331694,0.19795195641062172,up,0.0031178208073514933,-0.027532433864146527,0.02536149073598965,flat,6094,0.004458979784377254,0.10966368711458775
en/editors,y_mention,lex_specificity,10,27424,0.026691948658109685,0.010741986256589061,0.04508462729536264,up,0.0,-0.002019672823583201,0.003387041156505645,flat,6094,0.0,
en/editors,y_mention,lex_hedging,10,27424,0.0701210618436406,0.03721961914483831,0.10800963201837499,up,-0.00016409583196586806,-0.01053375320441814,0.009396534388520993,flat,6094,0.0008619095765523893,0.1964843787180914
en/editors,y_mention,lex_superlative,10,27424,-0.2083941073512252,-0.26932967584893064,-0.13554434669965312,down,-0.21775516901870692,-0.28446778362833464,-0.14527484138773153,down,6094,0.0379395039583067,-0.9197184346427142
en/editors,y_mention,snippet_words,10,27424,0.008277421236872811,-0.10448276966652972,0.10622856140512872,flat,-0.013291762389235313,-0.16151846843910683,0.09145030593682818,flat,6094,0.3827411756072866,-0.01572683994852156
en/editors,y_mention,snippet_has_year,10,27424,0.12868290548424738,0.04311423493007496,0.2047311333178558,up,-0.04857236626189695,-0.21389395885565135,0.07853385890277494,flat,6094,0.0005207650563030242,0.7312532222514226
en/editors,y_mention,snippet_digit_share,10,27424,-0.1794049008168028,-0.27666356937012065,-0.08301298782409153,down,-0.21545782737118477,-0.31490505641481464,-0.09784001502720174,down,6094,0.05501864481870943,0.23787938494766536
en/hosting,y_mention,in_search_results,10,242262,0.6283114974696816,0.5567851211170167,0.7059009876984298,up,0.6283114974696816,0.5567851211170167,0.7059009876984298,up,242262,0.24106384109209963,0.777588485509367
en/hosting,y_mention,n_results_mentioning,10,28691,0.56024537311352,0.47289884477603106,0.6581178557839891,up,0.56024537311352,0.47289884477603106,0.6581178557839891,up,28691,0.1353520312756117,0.9448888501674625
en/hosting,y_mention,best_position,10,28691,0.43191244641176674,0.36232862031519986,0.5013321092911703,up,0.15337650323774282,-0.015556689724636232,0.28348052479288777,flat,5405,0.04517346956972584,0.8538460044103154
en/hosting,y_mention,n_official,10,28691,0.1557979854309714,0.11013788497097846,0.2116899357779044,up,-0.0025901942645698427,-0.06160999709386806,0.045503864337120746,flat,5405,0.00409726977675499,0.5175036200602985
en/hosting,y_mention,n_editorial,10,28691,-0.011815551915234743,-0.08855073061119363,0.08269436938488404,flat,0.02238667900092507,-0.11176821706274535,0.17585035391790427,flat,5405,0.0032427824118171212,0.45763480360803105
en/hosting,y_mention,n_affiliate,10,28691,0.11121954619915653,0.06853341799717656,0.16795166321211175,up,-0.0784458834412581,-0.16947336530184845,0.007707397724317751,flat,5405,0.02129314935701827,0.6065426595354024
en/hosting,y_mention,n_forum,10,28691,0.3955247290090969,0.3228109794080795,0.5101802667446628,up,0.004440333024976873,-0.11733012133912721,0.11427799451106685,flat,5405,0.0195075278224966,0.8582210401765412
en/hosting,y_mention,n_retailer,10,28691,0.0,0.0,0.0,flat,0.0,0.0,0.0,flat,5405,0.0,
en/hosting,y_mention,n_unknown,10,28691,0.49276776689554214,0.3597885442160127,0.5936858711375399,up,0.05846438482886217,-0.12260474014719669,0.21323450052077234,flat,5405,0.040662868826793215,0.6987510002663079
en/hosting,y_mention,lex_authority,10,28691,0.023665957965912657,0.012283031851503784,0.03448982465646699,up,-0.0012950971322849213,-0.006429681769437856,0.004331631863963814,flat,5405,0.0005789626117040175,-0.23465048484387327
en/hosting,y_mention,lex_social_proof,10,28691,0.05771844829389007,0.013419732728019327,0.11655395313726756,up,0.012950971322849213,0.00033812577754180616,0.03004811752472843,up,5405,0.00606490378006684,0.3833567031108449
en/hosting,y_mention,lex_specificity,10,28691,0.11839949810044961,0.055530034033915605,0.1795264266763939,up,-0.030342275670675302,-0.0824942847125831,0.014534349301182005,flat,5405,0.005005365189461458,-0.37047521348259815
en/hosting,y_mention,lex_hedging,10,28691,0.0750758077445889,0.0359956231099064,0.14376752223040234,up,-0.0014801110083256244,-0.013094580764532682,0.010076555154239284,flat,5405,0.0019168977757015163,0.35287050551666427
en/hosting,y_mention,lex_superlative,10,28691,-0.24627932104144157,-0.34407289135161995,-0.11056681041670335,down,-0.235522664199815,-0.3781511523645058,-0.04741878206155204,down,5405,0.013240371522638598,-0.13985239868412333
en/hosting,y_mention,snippet_words,10,28691,0.1962984908159353,0.13799337412567056,0.2730443590408982,up,0.24606845513413506,0.21116284308015013,0.2882380554807059,up,5405,0.26565910629150497,0.523070413558366
en/hosting,y_mention,snippet_has_year,10,28691,0.08473040326234708,0.020971252386661088,0.1553047433590851,up,-0.046993524514338574,-0.1827273220348762,0.04782513774070331,flat,5405,0.002185558880989292,-0.5665820034526807
en/hosting,y_mention,snippet_digit_share,10,28691,-0.1818688787424628,-0.26110938436411035,-0.09856611732904051,down,-0.12210915818686402,-0.20286465070303378,-0.055937116548947875,down,5405,0.0298893838441426,-0.40460673254231516
en/travel,y_mention,in_search_results,10,146990,0.6167562419212191,0.5629974384193148,0.664441112735781,up,0.6167562419212191,0.5629974384193148,0.664441112735781,up,146990,0.5157466229096109,0.7870410724515257
en/travel,y_mention,n_results_mentioning,10,17607,0.4741296075424547,0.3374490171905462,0.555323342371991,up,0.4741296075424547,0.3374490171905462,0.555323342371991,up,17607,0.042314333767322486,0.7973297804378028
en/travel,y_mention,best_position,10,17607,0.40148804452774467,0.32269183657361766,0.48621183726867523,up,0.11032500552730488,0.02386193992650809,0.24364209595511546,up,4523,0.07760094093441605,0.879387204142808
en/travel,y_mention,n_official,10,17607,0.1198954961095019,0.04150330755796844,0.21433455230970974,up,0.019013928808313065,-0.08624102960605333,0.12447193997822495,flat,4523,0.04817918143127271,0.7701166106646136
en/travel,y_mention,n_editorial,10,17607,0.03810984267620832,-0.06970005704712046,0.1258452208894218,flat,-0.07450806986513377,-0.15500312297842914,0.010194290990469332,flat,4523,0.00616690688329527,0.4837930043044373
en/travel,y_mention,n_affiliate,10,17607,0.013574146646220253,-0.044111714989779414,0.06038135166619842,flat,-0.050187928366128676,-0.08544893746857758,-0.013230057797917747,down,4523,0.007837005952320506,-0.6455994073796185
en/travel,y_mention,n_forum,10,17607,0.36525245640938264,0.19702842827815165,0.497719224558041,up,0.08180411231483528,-0.017361676414495805,0.18186938960791685,flat,4523,0.02355167798788631,0.8347457065900489
en/travel,y_mention,n_retailer,10,17607,0.025728403475890272,0.004092787095444066,0.04496005128401754,up,-0.0033163829316825116,-0.020766773162939296,0.004266824092280895,flat,4523,0.003429429549083658,-0.31724819805741317
en/travel,y_mention,n_unknown,10,17607,0.3632646106662123,0.17319275368943388,0.4938341012597559,up,0.03648021224850763,-0.07751207340786927,0.15903327415141083,flat,4523,0.06396173849362974,0.8755688621730568
en/travel,y_mention,lex_authority,10,17607,0.015505196796728574,-0.002670889370204912,0.04430892713394329,flat,0.0015476453681185054,-0.003052453248328757,0.00973777142176791,flat,4523,0.00161676977617176,-0.2914239128241959
en/travel,y_mention,lex_social_proof,10,17607,0.024308513659340034,0.008029064421317511,0.04019108009608281,up,0.01414990050851205,-0.0015259778441307494,0.04334881934479268,flat,4523,0.007904454669857298,0.2202584555608611
en/travel,y_mention,lex_specificity,10,17607,0.009257681603907537,0.0006618630467844713,0.022592604007056247,up,0.013486623922175547,0.0,0.041157194400314165,flat,4523,0.0020408840723813012,0.12956476506608983
en/travel,y_mention,lex_hedging,10,17607,0.040097688419378656,0.02047733494813166,0.05577241864247029,up,0.024983418085341588,-0.02078513750524792,0.080873208316329,flat,4523,0.0028150713079819326,-0.2410420688972862
en/travel,y_mention,lex_superlative,10,17607,-0.08877151133072074,-0.2233566290372949,0.031323031621925984,flat,-0.142604466062348,-0.37373128313054305,0.07598628262954685,flat,4523,0.021001113566225915,-0.5016692127743387
