category,condition,model_id,target,n_brands,n_events,n_never_named,independent_query_groups,n_eff,n_eff_lo,n_eff_hi,top3_share,top3_share_lo,top3_share_hi,hhi_normalised,hhi_normalised_lo,hhi_normalised_hi,track
vpn,search_off,gemini-3.5-flash-lite,y_mention,24,93,13,5,6.191123836793128,4.335431088735054,6.818181818181818,0.6236559139784946,0.5630252100840336,0.7590361445783133,0.12506597897721275,0.10956521739130436,0.19720789917133172,tr
vpn,search_off,ALL,y_mention,24,263,9,5,6.956552348385799,5.768559967443753,7.496008680151903,0.5475285171102662,0.5198776758409787,0.6304347826086957,0.1065210791212701,0.09572625521277472,0.1374123369154425,tr
vpn,search_on,MiniMax-M2.7,y_mention,24,137,8,5,8.427929950606197,6.484407259101429,9.176182707993474,0.48905109489051096,0.4444444444444444,0.6140350877192982,0.08033366768051851,0.0702376811594203,0.11744294531239001,tr
vpn,search_on,abliterated-model-large-v2,y_mention,24,105,15,5,5.6917914300464645,4.58051689860835,6.071802187351402,0.6190476190476191,0.5775862068965517,0.7525773195876289,0.13985211475894704,0.12837817131844448,0.18432971014492755,tr
vpn,search_on,gemini-3.5-flash-lite,y_mention,24,92,15,5,5.829201101928375,4.112953367875648,6.329113924050632,0.6195652173913043,0.5675675675675675,0.7592592592592593,0.13553053341004354,0.12139130434782612,0.2102270860034835,tr
vpn,search_on,ALL,y_mention,24,334,7,5,6.9748655745904715,5.627525953998204,7.409829612551312,0.562874251497006,0.5311653116531165,0.6764943074003794,0.10612724044231246,0.09734525538269047,0.14194641285817755,tr
cosmetics,search_off,MiniMax-M2.7,y_top,74,3,72,2,1.7999999999999998,1.0,1.7999999999999998,1.0,1.0,1.0,0.5494672754946728,0.5494672754946728,1.0,tr
cosmetics,search_off,abliterated-model-large-v2,y_top,74,6,70,2,2.9999999999999996,1.0,3.571428571428571,0.8333333333333333,0.8,1.0,0.32420091324200917,0.2701369863013699,1.0,tr
cosmetics,search_off,gemini-3.5-flash-lite,y_top,74,9,69,2,3.857142857142857,1.6,3.857142857142857,0.7777777777777777,0.7777777777777777,1.0,0.24911212582445458,0.24911212582445458,0.6198630136986302,tr
cosmetics,search_off,ALL,y_top,74,18,67,2,4.153846153846153,1.3846153846153844,5.538461538461537,0.7777777777777778,0.6666666666666666,1.0,0.23033992897006597,0.16933028919330292,0.7184170471841705,tr
cosmetics,search_on,MiniMax-M2.7,y_top,74,6,70,3,3.5999999999999996,1.0,3.5999999999999996,0.8333333333333333,0.8333333333333333,1.0,0.26788432267884327,0.26788432267884327,1.0,tr
cosmetics,search_on,abliterated-model-large-v2,y_top,74,11,69,3,2.2830188679245285,1.4705882352941173,3.24,0.8181818181818182,0.8181818181818182,1.0,0.43031812521227214,0.29917131743615755,0.6756164383561646,tr
cosmetics,search_on,gemini-3.5-flash-lite,y_top,74,7,71,2,2.3333333333333335,1.0,2.4545454545454546,1.0,0.9999999999999999,1.0,0.42074363992172203,0.3992897006595636,1.0,tr
cosmetics,search_on,ALL,y_top,74,24,66,3,3.6000000000000005,1.3243243243243243,5.041666666666667,0.7916666666666666,0.7272727272727273,1.0,0.26788432267884316,0.18736556096456466,0.7517472742521666,tr
vpn,search_off,MiniMax-M2.7,y_top,24,6,21,3,2.0,1.0,2.7777777777777772,0.9999999999999999,0.9999999999999999,1.0,0.47826086956521735,0.3321739130434783,1.0,tr
vpn,search_off,abliterated-model-large-v2,y_top,24,16,21,5,2.0317460317460316,1.26113336190961,2.793103448275862,1.0,0.9999999999999999,1.0,0.4701086956521739,0.3301127214170692,0.7839508048743762,tr
vpn,search_off,gemini-3.5-flash-lite,y_top,24,15,20,4,3.260869565217391,1.6,3.881720430107527,0.8666666666666667,0.7777777777777778,1.0,0.27652173913043476,0.2253402384680236,0.6086956521739131,tr
vpn,search_off,ALL,y_top,24,37,19,5,3.8781869688385266,2.2167487684729066,4.390041493775933,0.8108108108108109,0.7352941176470589,1.0,0.22558516213040303,0.19421385715459852,0.4272463768115941,tr
vpn,search_on,MiniMax-M2.7,y_top,24,21,19,5,2.959731543624161,1.308108108108108,4.081632653061225,0.8095238095238095,0.7999999999999999,1.0,0.3090801538006507,0.21217391304347827,0.7542220625224578,tr
vpn,search_on,abliterated-model-large-v2,y_top,24,19,20,5,3.967032967032967,1.8348623853211008,3.967032967032967,0.7894736842105263,0.7894736842105263,1.0,0.2195591954715163,0.2195591954715163,0.5252173913043479,tr
vpn,search_on,gemini-3.5-flash-lite,y_top,24,17,19,5,3.481927710843374,1.1421319796954315,4.129032258064516,0.8235294117647058,0.7368421052631579,1.0,0.2562058071310365,0.20923913043478262,0.870144927536232,tr
vpn,search_on,ALL,y_top,24,57,19,5,3.9477521263669506,1.8127167630057803,4.455081001472754,0.807017543859649,0.7222222222222222,1.0,0.22084387169296235,0.19074380165289254,0.5321650399290151,tr
